,Features,Coefficient
145,Negation,-1.9942808998151442
15,neg_sent_TA,-1.6993397852981693
117,risk,-0.8260770501780615
124,visual,-0.7799917209806637
80,Social,-0.70729328978358
64,insight,-0.6891896458996983
140,Exclam,-0.6656529540407099
103,health,-0.6273267954003423
176,Conjunction.Start,-0.6193737691347098
50,auxverb,-0.5849861384572291
14,joy_TA,-0.5118494245548534
23,i_TA,-0.5015516674749311
79,emo_sad,-0.4913215749411703
105,wellness,-0.47541831464853634
34,BigWords,-0.46971245449583165
104,illness,-0.44433429354982507
113,lack,-0.40860192578311016
7,extremity_TA,-0.4082681703937581
17,sadness_TA,-0.38621634187510173
10,anger_TA,-0.3815529526003527
56,quantity,-0.3705804618629382
86,comm,-0.36143006441102793
20,arousal..NRC._TA,-0.3381000631311022
159,Please,-0.29668305291297264
87,socrefs,-0.28490966975268756
61,Cognition,-0.27861654600758684
127,time,-0.2761805021279859
91,male,-0.266846015340366
167,Acknowledgement,-0.2228058893217266
48,number,-0.21294990297913519
154,Reasoning,-0.20376505086585894
22,valence..NRC._TA,-0.164122519738474
93,politic,-0.15571700243803965
148,Formal.Title,-0.14719616878258837
146,Filler.Pause,-0.14574050575404554
101,relig,-0.13672188244709066
157,Give.Agency,-0.12857420425159882
47,article,-0.11801476700810211
3,valence..ANEW._TA,-0.11772913476934439
147,Informal.Title,-0.11703101142599844
59,achieve,-0.11403473253792898
88,family,-0.1121539992102149
123,space,-0.09492477332579785
98,home,-0.09177861627628135
4,concreteness_TA,-0.08878497518091721
78,emo_anger,-0.055502689502814506
141,Apostro,-0.047237341338037524
68,certitude,-0.031140152958938558
21,dominance..NRC._TA,-0.029640881298507865
153,For.You,0.016803033583740634
31,Authentic,0.01884635528347145
62,allnone,0.021591748153798274
16,pos_sent_TA,0.02369019338662228
100,money,0.023692707729426013
112,acquire,0.031842710028024995
122,motion,0.03809611332409895
77,emo_anx,0.045611631325713324
32,Tone,0.08363261562878903
174,Affirmation,0.0951689505662415
165,Agreement,0.09904250133251431
58,affiliation,0.10224427569467019
149,Could.You,0.10319913639900712
11,anticipation_TA,0.10331995202223335
171,Gratitude,0.10540549181704824
69,differ,0.12298318451439388
72,tone_pos,0.12538678359815786
89,friend,0.13751799661758018
170,YesNo.Questions,0.14083333576695112
30,Clout,0.14453295007696035
94,ethnicity,0.14527557605815522
12,disgust_TA,0.1503316070777144
49,prep,0.15305506494785168
65,cause,0.15515177744120706
70,memory,0.16229749348842695
143,Hedges,0.1964625033853608
25,they_TA,0.2070456632076229
175,Adverb.Limiter,0.21975403128650264
76,emo_neg,0.2198235128443518
118,curiosity,0.2376555349473915
119,allure,0.2563558193928826
67,tentat,0.25794109557292494
121,attention,0.28213981418960676
158,Hello,0.2911210644615341
133,assent,0.3132667957278631
54,verb,0.3214900540037149
55,adj,0.32769111130581785
18,surprise_TA,0.3292387453376373
134,nonflu,0.35961171726058044
19,trust_TA,0.39088416244411356
116,reward,0.4180407369772444
142,OtherP,0.4229507255708389
95,tech,0.47117187226183754
102,Physical,0.4718499172015485
99,work,0.48441897676967777
97,leisure,0.5146697243338367
1,arousal..ANEW._TA,0.5163155674352393
130,focusfuture,0.5644738910721863
6,emotionality_TA,0.5702470804311887
8,valence..EL._TA,0.5749034318890796
137,Period,0.5772568039460242
85,moral,0.5992922199501145
162,Second.Person,0.6023225451990096
13,fear_TA,0.6297267194890069
164,Negative.Emotion,0.7337412653163348
37,function.,0.8833956828806789
163,Positive.Emotion,0.931605812680686
152,For.Me,0.9513771229334296
83,polite,1.0022425165905882
161,First.Person.Single,1.034545748050094
60,power,1.0457084022016543
43,shehe,1.126402213065274
53,negate,2.2894138109715088
172,Apology,4.350769686509573
